tid,datetime,cc_num,amount,fraud_label
857d3a5c71d8d1030ba5b8cbc61abe99,2020-01-01 11:42:26,4264101964908346,46.35,0
7eddf5457dbdbffff6543f2d1d10a42b,2020-01-01 13:40:32,4572259224622748,14.47,0
da91b0e0f7eede9d9b685ff701ce9a64,2020-01-01 19:39:33,4332149413304557,42.4,0
a03b48c00a3a595c04dc81414d1fab2a,2020-01-01 21:06:53,4259753809723533,629.38,0
8d049d7e2acd55fca0c0a473199356a6,2020-01-01 23:49:10,4213741526478791,81.08,0
dce764dec751791378b96d04d7aa6d55,2020-01-02 00:41:06,4231082502226286,1.07,0
2135f1c9892d234c22d075ea08d822e6,2020-01-02 00:42:15,4653672048903767,780.69,0
24d006c44305267160771ffe8f2ce5db,2020-01-02 03:37:08,4307553668184625,930.66,0
eee5cdbf6c360f91c64c2c5fe9a05ec9,2020-01-02 05:59:15,4332149413304557,25.07,0
296193cad1a8f2e91abdc3ea8bca9d28,2020-01-02 19:07:14,4676706014866559,915.44,0
8c8a137e41e5afdedef6933a93b9ca13,2020-01-03 06:23:14,4867010117638802,583.91,0
91b6db5878c46ba54b81c694d02e4d2d,2020-01-03 18:16:50,4671096685272336,499.68,0
b4bd181b723e36a9ff90e27ce25411d2,2020-01-03 22:41:17,4388795302273767,276.91,0
db5e64b57205b6f73986f0220d633a80,2020-01-04 09:23:53,4879493428361965,67.74,0
b3c7d0907707b8ce70b1e386982bc809,2020-01-04 10:28:48,4136262720215016,21.55,0
aa1d27ecd0b7a1918a701055e34285bb,2020-01-04 10:35:12,4208317936968510,38.55,0
ee3919cb9e9d687c5b8d3547aa8f8aef,2020-01-04 10:35:24,4683617042712171,51.97,0
73fc039cc7ed46c4e566009c94333027,2020-01-04 10:44:11,4231082502226286,52.48,0
028a5041e15f635f9372f23ad76df16b,2020-01-04 11:27:47,4332149413304557,908.88,0
42a354e95668632d7c36513d24cffe6a,2020-01-04 12:28:46,4815447301191763,692.56,0
b9ab44a8d24ed26cc2510307e4a60b56,2020-01-04 16:05:23,4829328237114208,30.08,0
84ed49a61f584e5f22c37e92d9302f68,2020-01-04 16:16:40,4208317936968510,52.04,0
37ea4eb850d9156a4d3493090febc547,2020-01-04 18:06:15,4446288810992896,659.52,0
e4744ac62e3dc533e1378875cb53ac79,2020-01-05 00:53:45,4532606684286514,486.23,0
372f27e5bd91723ef5f8ef1d41848218,2020-01-05 07:06:54,4106727807825537,96.2,0
13fa797853f206ee5d08877e625edd75,2020-01-05 11:08:39,4186054708565028,57.77,0
788e5c081b5b1e75a58bebd159eca569,2020-01-05 14:57:30,4858129660270572,943.77,0
6ea36574541cdd30c46bdd0e96aa92ac,2020-01-05 19:26:43,4135449811055770,7.13,0
e5bac3be511c36d6fb3368dd997ffda6,2020-01-06 17:25:32,4039150536880479,1.11,0
6b5d65f9652e9df9e9c104f5ba735c63,2020-01-06 18:40:32,4208317936968510,44.06,0
19059d307192959b6a0330c545063446,2020-01-06 21:59:47,4978667132535671,1525.54,0
275caa681e848b966401c1c55b59dcc5,2020-01-06 22:24:36,4572259224622748,95.84,0
3e2084728eeb7270d43ec4541382385a,2020-01-07 00:10:34,4645884898081724,3836.77,0
bcc0f4422e698726be53f7d8c8a65d00,2020-01-07 02:53:17,4827760497563827,33.99,0
026591f0a56e104edd6299c741b5fbc8,2020-01-07 17:55:28,4526094550580419,51.05,0
ff14b6a4cbdcfb15ce51f112772a9756,2020-01-07 18:34:07,4526094550580419,971.6,0
bb4cb6114b5b64f6d42fd7c74381bb27,2020-01-07 21:36:19,4572259224622748,310.2,0
7ed36e7f880c6811afbf715b62518c0c,2020-01-07 23:07:20,4794233751173765,35.2,0
2f234e68d52af9ba18956cbbb3866ae4,2020-01-08 00:28:34,4090612125343330,4.35,0
9d776d5b1fa73961f4fdbf0700f0d96f,2020-01-08 04:35:09,4783713328425247,195.56,0
b8936dbe65bfebaad46195e76af85cba,2020-01-08 06:43:10,4388795302273767,41.81,0
4ed6e0ec33a7cd97f75eb1c3f4603034,2020-01-08 07:28:16,4488260402352127,187.54,0
bc666c8ee2c9d00f75154129011598f6,2020-01-08 15:26:56,4879493428361965,0.86,0
b5e5d4f6d3fac345ba4e2389e429857e,2020-01-08 15:48:30,4307553668184625,635.62,0
01caa3ae7263e76990ca284ca86e707d,2020-01-08 22:08:45,4524584153018280,49.12,0
60511c5bc3bc526831122a18279aebff,2020-01-09 02:44:16,4734811798843814,990.14,0
8d8761aaf3cfec2f456b876867fd0720,2020-01-09 10:15:01,4827807245873162,84.68,0
27c40f3d2fe9dbaaef0a4a36ad001464,2020-01-09 12:17:41,4564139086560436,32.11,0
3c4310bf6998cc0ba598d0303ab72cf6,2020-01-09 13:21:20,4572259224622748,14.72,0
bd090e65f37785937c84ea56eb731043,2020-01-09 16:18:14,4446288810992896,992.22,0
18fbbac39cebe4d860eb9013a1990f72,2020-01-09 23:46:56,4830349319515887,34.71,0
ff362983cae2454f9ab26b0ea41c9243,2020-01-10 01:01:55,4653672048903767,781.22,0
01712a9048309f6b81b3271489b2cc79,2020-01-10 02:17:28,4388795302273767,46.66,0
71a07e6b6402c3a65288692185d6620d,2020-01-10 06:05:44,4186054708565028,708.55,0
d2496e71b57712dc046188bf1fe4c344,2020-01-10 10:44:09,4811343280984688,75.63,0
6fd7fe5c48d5abd72f8732a362a44cd1,2020-01-10 15:57:13,4125310868424651,85.79,0
61da6fea0d6b365b383a20f821f4a0cf,2020-01-10 21:18:47,4653672048903767,66.96,0
c71ab4715deaa3c9d160fce780a70991,2020-01-11 03:30:13,4307553668184625,4.73,0
3cfd935e1bf0d8b649db81719aed18a0,2020-01-11 04:02:09,4524584153018280,69.22,0
7cc00f7ec17850615ef5df1a8e0e43ee,2020-01-11 05:43:50,4526611032294580,13.7,0
72ff62a6d63d3b401e2e93ce47d0cf96,2020-01-11 06:33:39,4858129660270572,63.47,0
ab2c4b1e096964e7d9960220dc51be44,2020-01-11 10:37:09,4281783875596457,50.61,0
4816aeeb87e8342957e73ce276d63264,2020-01-11 11:51:18,4001837582277998,6.65,0
26d91c5ed619e8d565490bb80da31ca4,2020-01-11 12:58:46,4925013053127624,61.79,0
5812f68604a4206bb55bcf77906c5cd7,2020-01-11 13:11:12,4853206196105715,32.04,0
5c0cc748e3dcc673f576bb2f342f69ff,2020-01-11 14:16:29,4893308344742860,3.29,0
f81bc02a106e12fe1a3b482b808a8dd2,2020-01-11 14:51:14,4208317936968510,970.9,0
